Рівень;Таблиця;Поле;Тип;NULL;За замовч.;Опис;FK до;Індекс
=== РІВЕНЬ 0: СИСТЕМНІ ТАБЛИЦІ ===;;;;;;;;
0;settings;id;UUID;NO;;Унікальний ID;;PK
0;settings;key;VARCHAR(100);NO;;Ключ налаштування;;UNIQUE
0;settings;value;TEXT;YES;;Значення;;
0;settings;type;VARCHAR(20);NO;string;Тип: string/number/boolean/json;;
0;settings;description;TEXT;YES;;Опис налаштування;;
0;settings;updated_at;TIMESTAMP;NO;NOW();;;
0;settings;updated_by;UUID;YES;;Хто змінив;users.id;
;;;;;;;;
0;numbering_sequences;id;UUID;NO;;Унікальний ID;;PK
0;numbering_sequences;code;VARCHAR(50);NO;;Код послідовності (КП, ВЗ, ...);;UNIQUE
0;numbering_sequences;prefix;VARCHAR(20);YES;;Префікс (КП-);;
0;numbering_sequences;suffix;VARCHAR(20);YES;;Суфікс;;
0;numbering_sequences;year_format;VARCHAR(10);YES;YYYY;Формат року в номері;;
0;numbering_sequences;separator;VARCHAR(5);YES;-;Розділювач;;
0;numbering_sequences;current_number;INT;NO;0;Поточний номер;;
0;numbering_sequences;padding;INT;NO;4;Кількість цифр (0001);;
0;numbering_sequences;reset_yearly;BOOLEAN;NO;true;Скидати щороку;;
;;;;;;;;
0;calculation_formulas;id;UUID;NO;;Унікальний ID;;PK
0;calculation_formulas;code;VARCHAR(50);NO;;Код формули;;UNIQUE
0;calculation_formulas;name;VARCHAR(200);NO;;Назва;;
0;calculation_formulas;formula;TEXT;NO;;Формула;;
0;calculation_formulas;variables;JSON;YES;;Список змінних;;
0;calculation_formulas;result_unit;VARCHAR(20);YES;;Одиниця результату;;
0;calculation_formulas;description;TEXT;YES;;Опис;;
;;;;;;;;
0;document_templates;id;UUID;NO;;Унікальний ID;;PK
0;document_templates;code;VARCHAR(50);NO;;Код шаблону;;UNIQUE
0;document_templates;name;VARCHAR(200);NO;;Назва;;
0;document_templates;type;VARCHAR(50);NO;;Тип: quotation/invoice/route_card;;
0;document_templates;format;VARCHAR(20);NO;pdf;Формат: pdf/docx/xlsx;;
0;document_templates;template_url;TEXT;YES;;URL файлу шаблону;;
0;document_templates;is_default;BOOLEAN;NO;false;За замовчуванням;;
0;document_templates;is_active;BOOLEAN;NO;true;Активний;;
=== РІВЕНЬ 1: БАЗОВІ ДОВІДНИКИ ===;;;;;;;;
1;units;id;UUID;NO;;Унікальний ID;;PK
1;units;code;VARCHAR(20);NO;;Код одиниці (шт, кг, м);;UNIQUE
1;units;name;VARCHAR(100);NO;;Повна назва;;
1;units;name_short;VARCHAR(50);YES;;Скорочена назва;;
1;units;type;VARCHAR(30);NO;;Тип: quantity/weight/length/area/volume/time;;INDEX
1;units;is_base;BOOLEAN;NO;false;Базова одиниця для типу;;
1;units;sort_order;INT;NO;0;Порядок сортування;;
1;units;is_active;BOOLEAN;NO;true;Активна;;
;;;;;;;;
1;unit_conversions;id;UUID;NO;;Унікальний ID;;PK
1;unit_conversions;from_unit_id;UUID;NO;;Від якої одиниці;units.id;INDEX
1;unit_conversions;to_unit_id;UUID;NO;;До якої одиниці;units.id;INDEX
1;unit_conversions;factor;DECIMAL(18,8);NO;;Коефіцієнт конвертації;;
1;unit_conversions;formula;TEXT;YES;;Формула (якщо не лінійна);;
;;;;;;;;
1;currencies;id;UUID;NO;;Унікальний ID;;PK
1;currencies;code;VARCHAR(3);NO;;Код валюти ISO 4217;;UNIQUE
1;currencies;name;VARCHAR(100);NO;;Назва;;
1;currencies;symbol;VARCHAR(5);NO;;Символ (₴, €, $);;
1;currencies;is_base;BOOLEAN;NO;false;Базова валюта системи;;
1;currencies;decimal_places;INT;NO;2;Знаків після коми;;
1;currencies;is_active;BOOLEAN;NO;true;Активна;;
;;;;;;;;
1;currency_rates;id;UUID;NO;;Унікальний ID;;PK
1;currency_rates;currency_id;UUID;NO;;Валюта;currencies.id;INDEX
1;currency_rates;rate;DECIMAL(18,6);NO;;Курс до базової валюти;;
1;currency_rates;rate_date;DATE;NO;;Дата курсу;;INDEX
1;currency_rates;source;VARCHAR(50);YES;;Джерело (НБУ, manual);;
1;currency_rates;created_at;TIMESTAMP;NO;NOW();;;
;;;;;;;;
1;countries;id;UUID;NO;;Унікальний ID;;PK
1;countries;code;VARCHAR(2);NO;;Код ISO 3166-1 alpha-2;;UNIQUE
1;countries;code3;VARCHAR(3);YES;;Код ISO 3166-1 alpha-3;;
1;countries;name;VARCHAR(100);NO;;Назва;;
1;countries;name_en;VARCHAR(100);YES;;Назва англійською;;
1;countries;is_eu;BOOLEAN;NO;false;Країна ЄС;;
1;countries;is_active;BOOLEAN;NO;true;Активна;;
;;;;;;;;
1;vat_rates;id;UUID;NO;;Унікальний ID;;PK
1;vat_rates;name;VARCHAR(100);NO;;Назва (20%, Без ПДВ);;
