Рівень;Таблиця;Поле;Тип;NULL;За замовч.;Опис;FK до;Індекс
=== РІВЕНЬ 5: КАЛЬКУЛЯЦІЇ ===;;;;;;;;
5;calculations;id;UUID;NO;;Унікальний ID;;PK
5;calculations;project_id;UUID;NO;;Проект;projects.id;INDEX
5;calculations;number;VARCHAR(50);NO;;Номер калькуляції;;UNIQUE
5;calculations;version;INT;NO;1;Версія калькуляції;;
5;calculations;quantity;INT;NO;1;Кількість виробів;;
5;calculations;currency_id;UUID;NO;;Валюта;currencies.id;
5;calculations;exchange_rate;DECIMAL(18,6);NO;1;Курс на дату;;
5;calculations;-- МАТЕРІАЛИ --;;;;;;;;
5;calculations;materials_cost;DECIMAL(18,4);NO;0;Основні матеріали;;
5;calculations;purchased_cost;DECIMAL(18,4);NO;0;Покупні вироби;;
5;calculations;waste_return;DECIMAL(18,4);NO;0;Зворотні відходи (-);;
5;calculations;transport_cost;DECIMAL(18,4);NO;0;ТЗВ;;
5;calculations;materials_total;DECIMAL(18,4);NO;0;Разом матеріали;;
5;calculations;-- РОБОТА --;;;;;;;;
5;calculations;labor_cost;DECIMAL(18,4);NO;0;Основна зарплата;;
5;calculations;labor_additional;DECIMAL(18,4);NO;0;Додаткова зарплата;;
5;calculations;labor_taxes;DECIMAL(18,4);NO;0;ЄСВ;;
5;calculations;labor_total;DECIMAL(18,4);NO;0;Разом зарплата;;
5;calculations;-- РОЗХІДНИКИ ТА КООПЕРАЦІЯ --;;;;;;;;
5;calculations;consumables_cost;DECIMAL(18,4);NO;0;Розхідні матеріали;;
5;calculations;subcontract_cost;DECIMAL(18,4);NO;0;Кооперація;;
5;calculations;tooling_cost;DECIMAL(18,4);NO;0;Оснастка;;
5;calculations;-- НАКЛАДНІ --;;;;;;;;
5;calculations;overhead_production;DECIMAL(18,4);NO;0;Загальновиробничі;;
5;calculations;overhead_admin;DECIMAL(18,4);NO;0;Адміністративні;;
5;calculations;overhead_sales;DECIMAL(18,4);NO;0;Збутові;;
5;calculations;-- ПІДСУМКИ --;;;;;;;;
5;calculations;production_cost;DECIMAL(18,4);NO;0;Виробнича собівартість;;
5;calculations;full_cost;DECIMAL(18,4);NO;0;Повна собівартість;;
